Year,Make,Model,Location,Price,Mileage,URL
2015,Mercedes-Benz,['c-class'],"Sydney, NSW",26000,119K km,/marketplace/item/1551183548981609/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2019,Mercedes-Benz,"['gla', '180', 'urban', 'edition']","Sydney, NSW",33500,64K km,/marketplace/item/892315208941080/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2016,Mercedes-Benz,['gle63s'],"Sydney, NSW",83500,86K km,/marketplace/item/761433355430556/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2015,Mercedes-Benz,"['c200', 'amg', 'pack']","Sydney, NSW",27900,87K km,/marketplace/item/399699335972209/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2012,Mercedes-Benz,['c-class'],"Sydney, NSW",17990,63K km,/marketplace/item/827617656046301/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2011,Mercedes-Benz,"['c250', 'aventagade']","Sydney, NSW",16000,95K km,/marketplace/item/1763327974116583/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2012,Mercedes-Benz,['ml250'],"Sydney, NSW",24000,179K km,/marketplace/item/1030409944691975/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2018,Mercedes-Benz,['glc-class'],"Sydney, NSW",55000,34K km,/marketplace/item/390323770208206/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2020,Mazda,['3'],"Sydney, NSW",24000,39K km,/marketplace/item/1742422912945905/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2021,Mazda,['mx-30'],"Sydney, NSW",45000,12K km,/marketplace/item/1511397612981083/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2020,Mazda,['cx-5'],"Sydney, NSW",35000,37K km,/marketplace/item/299892976332666/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2020,LDV,"['G10', '9', 'seater', '2.0l', 'petrol']","Sydney, NSW",25990,90K km,/marketplace/item/1523339761543354/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2022,LDV,['g10+'],"Sydney, NSW",24999,25K km,/marketplace/item/1319091722122639/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2021,LDV,"['g10', 'executive']","Wollongong, NSW",30000,52K km,/marketplace/item/399649245843795/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2020,LDV,,"Sydney, NSW",28990,7K km,/marketplace/item/1057888335330705/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2023,LDV,"['delivery', '9', 'lwb', 'mr']","Sydney, NSW",49000,300 km,/marketplace/item/561236026169089/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2018,LDV,"['g10', 'executive', '7', 'seats']","Sydney, NSW",17000,150K km,/marketplace/item/882341403215149/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2023,LDV,['mifa'],"Sydney, NSW",47291,300 km,/marketplace/item/1082014686132696/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2020,LDV,['g10'],"Sydney, NSW",29850,47K km,/marketplace/item/374641885018228/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2020,LDV,"['g10', 'executive']","Sydney, NSW",30000,68K km,/marketplace/item/264950889840857/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2016,LDV,['gt10'],"Sydney, NSW",17800,61K km,/marketplace/item/383355474079175/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2019,LDV,"['g10', 'executive', '9', 'seater']","Albion Park, NSW",29500,84K km,/marketplace/item/1714704679009396/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2017,LDV,,"Sydney, NSW",16000,103K km,/marketplace/item/1123603351958159/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2016,LDV,['g10'],"Sydney, NSW",16500,61K km,/marketplace/item/1591955624674731/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2019,LDV,"['g10', 'executive']","Sydney, NSW",19500,162K km,/marketplace/item/1534144994073990/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2010,Mercedes-Benz,['b-class'],"Sydney, NSW",8200,176K km,/marketplace/item/6669880886449428/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2014,Mercedes-Benz,,"Sydney, NSW",23000,78K km,/marketplace/item/3447515135521989/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2018,Mercedes-Benz,['313cdi'],"Sydney, NSW",44999,115K km,/marketplace/item/1749304948906638/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2019,Mercedes-Benz,"['c', '63', 'amg', 's']","Sydney, NSW",132000,46K km,/marketplace/item/2711122042389813/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2013,Mercedes-Benz,['a-class'],"Sydney, NSW",15900,142K km,/marketplace/item/878793537080569/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2011,Mercedes-Benz,,"Sydney, NSW",15000,138K km,/marketplace/item/232695836543181/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2011,Mercedes-Benz,"['mercedes', 'benz']","Sydney, NSW",47000,90K km,/marketplace/item/290349980488779/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2012,Mercedes-Benz,,"Sydney, NSW",15999,140K km,/marketplace/item/878582183491685/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2011,Mercedes-Benz,,"Sydney, NSW",16000,90K km,/marketplace/item/1153154099395464/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2010,Mercedes-Benz,,"Sydney, NSW",10000,155K km,/marketplace/item/397927102686361/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2012,Mercedes-Benz,['c-class'],"Sydney, NSW",12500,133K km,/marketplace/item/286803341079664/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2015,Mercedes-Benz,,"Sydney, NSW",22000,76K km,/marketplace/item/2107188806339753/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2016,Mercedes-Benz,['gle63s'],"Sydney, NSW",83500,86K km,/marketplace/item/761433355430556/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2015,Mercedes-Benz,"['a250', 'sport', 'performance', 'amg']","Sydney, NSW",26999,94K km,/marketplace/item/2441964135983392/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2014,Mercedes-Benz,,"Sydney, NSW",16500,77K km,/marketplace/item/332260049582859/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2015,Mercedes-Benz,['gla-250'],"Sydney, NSW",24300,98K km,/marketplace/item/896681138611169/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2010,Mercedes-Benz,['c-class'],"Sydney, NSW",10575,136K km,/marketplace/item/1073363020359887/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2015,Mercedes-Benz,['c-class'],"Sydney, NSW",26000,119K km,/marketplace/item/1551183548981609/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2015,Mercedes-Benz,"['c200', 'amg', 'pack']","Sydney, NSW",27900,87K km,/marketplace/item/399699335972209/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2012,Mercedes-Benz,['e-class'],"Sydney, NSW",23000,100K km,/marketplace/item/1122429905529918/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2018,Mercedes-Benz,['cla-class'],"Sydney, NSW",35900,42K km,/marketplace/item/1057587928862340/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2019,Mercedes-Benz,"['gla', '180', 'urban', 'edition']","Sydney, NSW",33500,64K km,/marketplace/item/892315208941080/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2013,Mercedes-Benz,,"Sydney, NSW",22800,45K km,/marketplace/item/1095428338551758/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2018,Mercedes-Benz,['glc-class'],"Sydney, NSW",55000,34K km,/marketplace/item/390323770208206/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2021,LDV,"['t60', 'max', 'pro']","Sydney, NSW",25000,47K km,/marketplace/item/767739288448138/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2022,LDV,"['deliver', '9']","Sydney, NSW",35500,29K km,/marketplace/item/692556226326094/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2021,LDV,"['t60', 'luxe']","Sydney, NSW",28500,55K km,/marketplace/item/884778649820133/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2016,LDV,['gt10'],"Sydney, NSW",17800,61K km,/marketplace/item/383355474079175/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2020,LDV,"['g10', 'executive']","Sydney, NSW",30000,68K km,/marketplace/item/264950889840857/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2017,LDV,,"Sydney, NSW",16000,103K km,/marketplace/item/1123603351958159/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2021,LDV,['g10+'],"Sydney, NSW",23500,88K km,/marketplace/item/1107751713913046/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2014,Renault,['captur'],"Sydney, NSW",3800,109K km,/marketplace/item/3327625554152286/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2012,Renault,"['megane', 'rs', '250', 'cup']","Sydney, NSW",10990,163K km,/marketplace/item/1564767344318541/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2014,Renault,['clio'],"Sydney, NSW",10990,73K km,/marketplace/item/6922287297808580/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2014,Renault,"['low', 'km', '78,500', 'clio', 'gt']","Sydney, NSW",10800,78K km,/marketplace/item/574838588171781/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2015,Renault,['clio'],"Sydney, NSW",5800,119K km,/marketplace/item/1126896798293054/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2019,Renault,"['megane', 'rs', '280']","Sydney, NSW",33000,70K km,/marketplace/item/215567724957652/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2018,Renault,['mégane'],"Sydney, NSW",35500,69K km,/marketplace/item/1108534333490729/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2015,Renault,"['clio', 'expression']","Sydney, NSW",13000,72K km,/marketplace/item/362047789937744/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2012,Renault,['mégane'],"Sydney, NSW",6000,148K km,/marketplace/item/1443015129580391/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2014,Renault,"['megane', 'rs', 'trophy']","Sydney, NSW",17999,94K km,/marketplace/item/1077144043734514/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2015,Renault,"['megane', 'gt', 'line']","Sydney, NSW",12990,83K km,/marketplace/item/888014702702291/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2012,Renault,"['Megane', 'rs', 'sport']","Sydney, NSW",20500,165K km,/marketplace/item/1767517820338400/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2014,Renault,['mégane'],"Sydney, NSW",9700,93K km,/marketplace/item/390342936861032/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2015,Renault,"['koleos', 'boss', 'sportway']","Sydney, NSW",9500,137K km,/marketplace/item/272771255490901/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2017,Renault,"['clio', 'rs', '220', 'throphy']","Sydney, NSW",13750,121K km,/marketplace/item/354836160833611/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2021,Renault,"['megane', 'r.s.', 'trophy']","Sydney, NSW",48800,13K km,/marketplace/item/185770874544061/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2012,Renault,"['megane', 'r.s.', '265', 'trophy']","Sydney, NSW",18000,128K km,/marketplace/item/348270734660085/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2015,Renault,"['clio', 'rs']","Sydney, NSW",13000,113K km,/marketplace/item/1044858703625688/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2012,Renault,"['megane', 'dynamique', '2litre', 'engine']","Sydney, NSW",10000,113K km,/marketplace/item/1729753177507275/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2013,Renault,['mégane'],"Sydney, NSW",13000,12K km,/marketplace/item/404559675304221/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2017,Renault,"['megane', 'gt', 'estate']","Sydney, NSW",33900,52K km,/marketplace/item/24535961606048364/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2018,Renault,['koleos'],"Sydney, NSW",21000,184K km,/marketplace/item/243264485360003/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2015,Renault,['mégane'],"The Oaks, NSW",18000,91K km,/marketplace/item/929459575242176/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2022,Tesla,"['model', 'y']","Melbourne, VIC",63999,24K km,/marketplace/item/1552637895554649/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2023,Tesla,"['model', 'y']","Melbourne, VIC",66000,5.5K km,/marketplace/item/185284001309620/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2023,Tesla,"['model', '3']","Melbourne, VIC",58000,15K km,/marketplace/item/403512148719269/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2022,Tesla,['y'],"Melbourne, VIC",66000,24K km,/marketplace/item/764069228409575/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2022,Tesla,"['model', 'y']","Melbourne, VIC",64950,16K km,/marketplace/item/922448919408444/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2022,Tesla,"['model', 'y']","Melbourne, VIC",67000,18K km,/marketplace/item/364039566076744/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2017,Tesla,"['model', 'x']","Melbourne, VIC",86000,82K km,/marketplace/item/274212782331054/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2022,Tesla,"['model', '3']","Melbourne, VIC",55000,12K km,/marketplace/item/604730598474882/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2023,Tesla,"['model', 'y']","Melbourne, VIC",70000,7K km,/marketplace/item/267162736163683/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2022,Tesla,['y'],"Rockbank, VIC",65000,35K km,/marketplace/item/6395592373883506/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2022,Tesla,"['model', 'y']","Melbourne, VIC",68990,15K km,/marketplace/item/1067114611071863/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2023,Tesla,"['model', '3']","Melbourne, VIC",59500,18K km,/marketplace/item/1089704922195371/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2022,Tesla,"['model', 'y', 'rwd']","Melbourne, VIC",68999,9.7K km,/marketplace/item/3152089591764528/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2022,Tesla,,"Melbourne, VIC",48000,83K km,/marketplace/item/1484001735505624/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2019,Tesla,['3sr+'],"Melbourne, VIC",44200,83K km,/marketplace/item/2010250139336901/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2023,Tesla,"['model', 'y']","Melbourne, VIC",75000,2K km,/marketplace/item/277710231742841/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2021,Tesla,"['model', '3']","Melbourne, VIC",54990,47K km,/marketplace/item/1374216820147714/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2018,Tesla,"['model', 'x']","Yarra Glen, VIC",102000,135K km,/marketplace/item/2288519181340233/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2018,Tesla,"['model', 'x', 'Black']","Melbourne, VIC",22900,73K km,/marketplace/item/1481608062694073/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2023,Tesla,"['model', '3']","Melbourne, VIC",76500,300 km,/marketplace/item/1453111108888781/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2022,Tesla,"['model', '3', 'rwd']","Melbourne, VIC",55555,23K km,/marketplace/item/727170642168642/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2020,Tesla,"['model', 'x']","Melbourne, VIC",130000,62K km,/marketplace/item/937572148197858/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2021,Tesla,"['model', '3']","Melbourne, VIC",62000,52K km,/marketplace/item/1303198690377112/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2019,Tesla,"['model', '3']","Melbourne, VIC",45100,50K km,/marketplace/item/1383623399191704/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2023,Tesla,"['model', '3']","Melbourne, VIC",59000,430 km,/marketplace/item/927807965043904/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2022,Tesla,"['model', '3']","Melbourne, VIC",55000,12K km,/marketplace/item/604730598474882/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2023,Tesla,"['model', '3']","Melbourne, VIC",58000,15K km,/marketplace/item/403512148719269/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2019,Tesla,"['model', '3', 'standart', 'range', 'plus']","Melbourne, VIC",54999,61K km,/marketplace/item/758517779059558/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2021,Tesla,,"Bendigo, VIC",50000,58K km,/marketplace/item/275746042190557/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2023,Tesla,"['model', '3']","Melbourne, VIC",59500,18K km,/marketplace/item/1089704922195371/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2022,Tesla,"['model', '3']","Melbourne, VIC",56000,20K km,/marketplace/item/1015060606301978/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2022,Tesla,,"Melbourne, VIC",48000,83K km,/marketplace/item/1484001735505624/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2019,Tesla,,"Melbourne, VIC",46000,41K km,/marketplace/item/1770978546749920/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2019,Tesla,"['model', '3', 'standart', 'range', 'pluss']","Melbourne, VIC",54999,61K km,/marketplace/item/7152209931492575/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2021,Tesla,"['model', '3']","Melbourne, VIC",54990,47K km,/marketplace/item/1374216820147714/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2023,Tesla,"['model', '3']","Melbourne, VIC",76500,300 km,/marketplace/item/1453111108888781/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2023,Tesla,"['model', 'y']","Melbourne, VIC",66000,5.5K km,/marketplace/item/185284001309620/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2019,Tesla,['3sr+'],"Melbourne, VIC",44200,83K km,/marketplace/item/2010250139336901/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2017,Tesla,"['model', 'x']","Melbourne, VIC",86000,82K km,/marketplace/item/274212782331054/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2022,Tesla,"['model', '3', 'rwd']","Melbourne, VIC",55555,23K km,/marketplace/item/727170642168642/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2021,Tesla,"['model', '3']","Melbourne, VIC",62000,52K km,/marketplace/item/1303198690377112/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2022,Tesla,"['model', 'y']","Melbourne, VIC",67000,18K km,/marketplace/item/364039566076744/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2021,Tesla,"['model', '3']","Melbourne, VIC",55000,33K km,/marketplace/item/189527670918662/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2022,Tesla,"['3', 'long', 'range']","Melbourne, VIC",69000,38K km,/marketplace/item/2084746201873327/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2023,Tesla,,"Melbourne, VIC",57500,14K km,/marketplace/item/1569681230449701/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2023,BYD,"['atto3', 'extended', 'range']","Melbourne, VIC",47000,25K km,/marketplace/item/747355240223725/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2020,MG,['zs'],"Fraser Rise, VIC",14600,37K km,/marketplace/item/339487659049488/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2021,MG,['zs'],"Melbourne, VIC",18300,34K km,/marketplace/item/377006698077064/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2022,MG,['zs'],"Melbourne, VIC",19000,40K km,/marketplace/item/1062897525022202/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2023,MG,['mg3'],"Melbourne, VIC",10999,2.7K km,/marketplace/item/319773780976193/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2022,MG,"['mg3', 'auto']","Melbourne, VIC",16500,7.2K km,/marketplace/item/657115939935934/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2020,MG,['zs'],"Melbourne, VIC",15999,37K km,/marketplace/item/372041018857108/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2022,MG,['3'],"Melbourne, VIC",15300,17K km,/marketplace/item/1403000463588629/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2022,MG,['zs'],"Melbourne, VIC",21500,9.8K km,/marketplace/item/552798920377491/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2021,Volvo,['xc40'],"Melbourne, VIC",46000,50K km,/marketplace/item/808082397658639/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2021,Volvo,['xc40'],"Melbourne, VIC",42000,32K km,/marketplace/item/1051618802757104/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2021,Volvo,['xc60'],"Melbourne, VIC",51990,35K km,/marketplace/item/867454394974750/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2012,Volvo,['v60'],"Melbourne, VIC",14500,110K km,/marketplace/item/395813063007890/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2018,Volvo,['xc90'],"Melbourne, VIC",48500,86K km,/marketplace/item/1115631259873712/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2021,Volvo,"['xc40', 'recharge', 'pure', 'electric', 'twin']","Melbourne, VIC",72000,,/marketplace/item/1683841588709345/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2022,Volvo,"['xc40', 'twin', 'electric', 'engine', 'recharge']","Melbourne, VIC",79990,,/marketplace/item/259692293809925/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2012,Volvo,['c30'],"Melbourne, VIC",12000,143K km,/marketplace/item/1048405203127517/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2022,Volvo,['xc40'],"Melbourne, VIC",71000,11K km,/marketplace/item/331145129481947/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2014,Volvo,['xc60'],"Melbourne, VIC",15000,186K km,/marketplace/item/1376459286295650/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2022,Volvo,['xc40'],"Melbourne, VIC",76990,6.5K km,/marketplace/item/209059998881606/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2017,Volvo,"['xc90', 'd5', 'inscription']","Melbourne, VIC",58990,16K km,/marketplace/item/1099637181064909/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2014,Volvo,"['v40', 'cross', 'country', 't5', 'luxury']","Melbourne, VIC",21000,78K km,/marketplace/item/866922521681976/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2021,MG,['zs'],"Melbourne, VIC",18300,34K km,/marketplace/item/377006698077064/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2022,MG,['zs'],"Melbourne, VIC",19000,40K km,/marketplace/item/1062897525022202/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2023,MG,"['zs', 'excite']","Melbourne, VIC",22000,2K km,/marketplace/item/377850631308339/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2021,MG,"['zs', 'excite']","Melbourne, VIC",20500,14K km,/marketplace/item/6619741191379274/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2021,MG,['zst'],"Melbourne, VIC",25500,50K km,/marketplace/item/2021247561576931/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2022,MG,['mg3'],"Melbourne, VIC",15990,23K km,/marketplace/item/731201915578708/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2022,MG,['hs'],"Melbourne, VIC",22000,15K km,/marketplace/item/1599709254166691/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2022,MG,['zs'],"Melbourne, VIC",21990,21K km,/marketplace/item/242988908096447/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2019,MG,"['zs', 'essence']","Melbourne, VIC",17500,,/marketplace/item/751125989877331/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2020,MG,['zs'],"Melbourne, VIC",23000,46K km,/marketplace/item/1434878844117883/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2022,MG,"['hs', 'plus', 'ev', 'suv']","Melbourne, VIC",42000,33K km,/marketplace/item/1296266824271985/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2022,MG,['zs'],"Melbourne, VIC",21500,9.8K km,/marketplace/item/552798920377491/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2022,MG,['hs'],"Melbourne, VIC",43990,22K km,/marketplace/item/718950540298442/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2022,MG,['3'],"Melbourne, VIC",15300,17K km,/marketplace/item/1403000463588629/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2021,MG,['hs'],"Melbourne, VIC",26500,34K km,/marketplace/item/340226362050531/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2021,MG,"['zst', 'excite']","Melbourne, VIC",28000,9.9K km,/marketplace/item/390049006766160/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2022,MG,"['hs', 'ev', 'plus']","Melbourne, VIC",40000,36K km,/marketplace/item/701424608611900/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2023,Polestar,"['2', 'long', 'range', 'single', 'mot']","Melbourne, VIC",83000,8.5K km,/marketplace/item/352729403851457/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2022,Polestar,['2'],"Anglesea, VIC",86500,32K km,/marketplace/item/658980856421121/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2023,Kia,"['ev6', 'gt']","Ballarat, VIC",95990,300 km,/marketplace/item/390487226998333/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2023,Kia,"['ev6', 'gt']","Melbourne, VIC",105000,300 km,/marketplace/item/336512022217558/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2023,Kia,"['seltos', 'gt', 'line', '2.0']","Melbourne, VIC",43000,2.8K km,/marketplace/item/382366197715493/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2023,Kia,['ev6'],"Ballarat, VIC",94990,300 km,/marketplace/item/311052655271088/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
