Year,Make,Model,Location,Price,Mileage,URL
2020,Tesla,"['model', '3']","Gold Coast, QLD",42500,78K km,/marketplace/item/368206042621673/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2023,Tesla,"['model', '3']","Bribie Island, QLD",57000,5.1K km,/marketplace/item/359443026807579/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2023,Tesla,"['model', '3', 'long', 'range']","Brisbane, QLD",69500,11K km,/marketplace/item/1513715799410094/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2020,Tesla,"['model', '3']","Brisbane, QLD",50000,77K km,/marketplace/item/364036069558447/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2022,Tesla,['model3'],"Brisbane, QLD",74000,34K km,/marketplace/item/320046607198844/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2022,Tesla,"['model', '3', 'performance']","Brisbane, QLD",80000,16K km,/marketplace/item/7468226316550458/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2022,Tesla,['model3'],"Gold Coast, QLD",55000,36K km,/marketplace/item/6263819407054898/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2021,Tesla,"['3', 'performance']","Gold Coast, QLD",84900,14K km,/marketplace/item/558488389778228/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2022,Tesla,"['model', '3', '“as', 'new-driveaway', 'today”']","Brisbane, QLD",59000,13K km,/marketplace/item/1027541868514325/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2021,Tesla,"['model', '3']","Toowoomba, QLD",44500,34K km,/marketplace/item/1858376111292126/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2022,Tesla,"['model', 'y']","Nambour, QLD",66990,17K km,/marketplace/item/1428255207805752/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2022,Tesla,"['model', '3']","Bangalow, NSW",54500,23K km,/marketplace/item/3650509241847222/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2020,Tesla,"['model', '3', 'performance']","Sunshine Coast, QLD",59000,98K km,/marketplace/item/1150008209291326/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2021,Tesla,"['model', '3', 'long', 'range']","Toowoomba, QLD",62000,27K km,/marketplace/item/1559300138182135/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2022,Tesla,"['model', '3']","Scone, NSW",62000,30K km,/marketplace/item/772960171362399/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2020,Tesla,"['3', 'sr+']","Brisbane, QLD",43000,84K km,/marketplace/item/904495797876976/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2022,Tesla,"['model', '3', 'sr+', 'rwd']","Brisbane, QLD",46500,43K km,/marketplace/item/390666103617989/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2023,Tesla,"['model', '3']","Brisbane, QLD",66990,300 km,/marketplace/item/2420847861449279/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2020,Tesla,"['model', '3']","Brisbane, QLD",40000,76K km,/marketplace/item/3332879707011870/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
