Year,Make,Model,Price,Mileage,Location,Additional,Fuel Type,Car Type,Scraping Time,Source,Car Build,MSRP,Retention Rate,Age,Fuel Type Adjusted
2019,Toyota,Corolla,27888,109416,WA,*Excl. Govt. Charges,Hybrid,Hybrid 1.8L Hatchback FWD Hybrid,1716605173,Drive,OTHER,26335,1.058970951,5,Hybrid
2019,Toyota,Corolla,24710,58050,QLD,Drive Away,Petrol,2.0L Hatchback FWD,1719025611,Drive,OTHER,23335,1.058924363,5,Conventional
2019,Toyota,Corolla,24710,57583,NSW,Drive Away,Petrol,2.0L Hatchback FWD,1712378123,Drive,OTHER,23335,1.058924363,5,Conventional
2019,Toyota,Corolla,24710,68410,NSW,Drive Away,Petrol,2.0L Hatchback FWD,1717825583,Drive,OTHER,23335,1.058924363,5,Conventional
2019,Toyota,Corolla,24710,79530,NSW,Drive Away,Petrol,2.0L Hatchback FWD,1715393493,Drive,OTHER,23335,1.058924363,5,Conventional
2021,Toyota,Corolla,24710,55462,NSW,Drive Away,Petrol,2.0L Hatchback FWD,1713580120,Drive,OTHER,23335,1.058924363,3,Conventional
2021,Hyundai,i30,26888,82579,QLD,Drive Away,Petrol,2.0L Hatchback FWD,1719638325,Drive,OTHER,25395,1.058791101,3,Conventional
2021,Hyundai,i30,26888,89479,WA,*Excl. Govt. Charges,Petrol,2.0L Hatchback FWD,1719638389,Drive,OTHER,25395,1.058791101,3,Conventional
2020,Toyota,RAV4,48990,44629,QLD,*Excl. Govt. Charges,Hybrid,2.5L SUV 4WD Hybrid,1716008660,Drive,SUV,46290,1.058327933,4,Hybrid
2023,Lexus,RX,116980,3836,ACT,Drive Away,Hybrid,Sports Luxury 2.5L SUV 4WD Hybrid,1714787029,Drive,SUV,110575,1.057924486,1,Hybrid
2023,Lexus,RX,131888,2840,ACT,Drive Away,Hybrid,F Sport Performance 2.4L SUV 4WD Hybrid,1717825225,Drive,SUV,124675,1.057854421,1,Hybrid
2023,Lexus,RX,131888,3011,ACT,Drive Away,Hybrid,F Sport Performance 2.4L SUV 4WD Hybrid,1717825220,Drive,SUV,124675,1.057854421,1,Hybrid
2020,Nissan,X-TRAIL,27857,27845,QLD,Drive Away,Petrol,2.5L SUV FWD,1712976858,Drive,SUV,26335,1.057793811,4,Conventional
2020,Toyota,RAV4,43145,14182,NSW,Drive Away,Petrol,2.0L SUV FWD,1712976738,Drive,SUV,40790,1.057734739,4,Conventional
2023,Mazda,CX-60,77998,3637,QLD,Drive Away,Petrol,Azami 3.3L SUV 4WD,1719640157,Drive,SUV,73750,1.0576,1,Conventional
2023,Mazda,CX-60,72445,1870,QLD,Drive Away,Petrol,GT 3.3L SUV 4WD,1715393726,Drive,SUV,68550,1.05681984,1,Conventional
2022,Kia,Sportage,35391,66655,WA,Drive Away,Diesel,2.0L Diesel SUV 4WD,1720827083,Drive,SUV,33490,1.056763213,2,Conventional
2023,Mazda,CX-60,72440,1870,QLD,Drive Away,Petrol,GT 3.3L SUV 4WD,1712377895,Drive,SUV,68550,1.0567469,1,Conventional
2021,Toyota,Corolla,24650,62525,WA,Drive Away,Petrol,2.0L Hatchback FWD,1719026323,Drive,OTHER,23335,1.056353118,3,Conventional
2021,Toyota,Corolla,24650,61214,WA,Drive Away,Petrol,2.0L Hatchback FWD,1719639047,Drive,OTHER,23335,1.056353118,3,Conventional
2021,Toyota,Corolla,24649,64097,WA,Drive Away,Petrol,2.0L Hatchback FWD,1719638408,Drive,OTHER,23335,1.056310264,3,Conventional
2020,Toyota,C-HR,31990,42970,QLD,Drive Away,Petrol,1.2L SUV FWD,1714787867,Drive,SUV,30290,1.056124133,4,Conventional
2020,Toyota,C-HR,31990,44644,QLD,Drive Away,Petrol,1.2L SUV FWD,1716605790,Drive,SUV,30290,1.056124133,4,Conventional
2019,Toyota,Corolla,27800,46831,ACT,Drive Away,Hybrid,Hybrid 1.8L Hatchback FWD Hybrid,1716007180,Drive,OTHER,26335,1.055629391,5,Hybrid
2019,Toyota,Corolla,27800,61572,NSW,Drive Away,Hybrid,Hybrid 1.8L Hatchback FWD Hybrid,1714181932,Drive,OTHER,26335,1.055629391,5,Hybrid
2022,MG,MG3,18990,19457,QLD,Drive Away,Petrol,1.5L Hatchback FWD,1714788019,Drive,OTHER,17990,1.055586437,2,Conventional
2019,Hyundai,Kona,28490,28886,NSW,*Excl. Govt. Charges,Petrol,1.6L SUV 4WD,1717246621,Drive,SUV,27000,1.055185185,5,Conventional
2019,Hyundai,Kona,28490,56694,WA,*Excl. Govt. Charges,Petrol,1.6L SUV 4WD,1712977695,Drive,SUV,27000,1.055185185,5,Conventional
2019,Ford,Ranger,43460,92017,QLD,Drive Away,Diesel,3.2L Diesel Dual Cab Ute 4XD,1714182083,Drive,UTE,41190,1.055110464,5,Conventional
