Year,Make,Model,Price,Location,Mileage,Fuel Type,URL
2019,Kia,Sportage,"$29,888Drive Away","Narre Warren, VIC","93,665 km",Petrol,drive.com.au/cars-for-sale/car/969495362/
2019,Mitsubishi,Triton,"$36,984*Excl. Govt. Charges","Bentley , WA","115,018 km",Diesel,drive.com.au/cars-for-sale/car/969495809/
2023,Mazda,CX-5,"$55,116Drive Away","Mulgrave, VIC",10 km,Petrol,drive.com.au/cars-for-sale/car/969495393/
2018,Toyota,Hilux,"$48,988*Excl. Govt. Charges","Bentley , WA","99,748 km",Diesel,drive.com.au/cars-for-sale/car/969495856/
2021,Kia,Stinger,"$64,990Drive Away","Cheltenham, VIC","41,565 km",Petrol,drive.com.au/cars-for-sale/car/969495454/
2021,Ford,Ranger,"$61,996*Excl. Govt. Charges","Bentley , WA","75,340 km",Diesel,drive.com.au/cars-for-sale/car/969496038/
2023,Mazda,BT-50,"$56,555Drive Away","Rockingham, WA","2,597 km",Diesel,drive.com.au/cars-for-sale/car/969495525/
2023,Isuzu,D-MAX,"$66,984*Excl. Govt. Charges","Bentley , WA","3,089 km",Diesel,drive.com.au/cars-for-sale/car/969496040/
2021,Mazda,BT-50,"$59,097Drive Away","Rockingham, WA","46,709 km",Diesel,drive.com.au/cars-for-sale/car/969495537/
2016,Volkswagen,Amarok,"$22,990Drive Away","Moorooka Q.4105, QLD","201,668 km",Diesel,drive.com.au/cars-for-sale/car/969495538/
2023,Audi,SQ2,"$78,850Drive Away","Pennant Hills, NSW","1,112 km",Petrol,drive.com.au/cars-for-sale/car/969495549/
2022,Ford,Everest,"$58,700Drive Away","Morningside, QLD","34,610 km",Diesel,drive.com.au/cars-for-sale/car/969495569/
2018,Mitsubishi,Triton,"$34,063Drive Away","Laverton North, VIC","77,449 km",Diesel,drive.com.au/cars-for-sale/car/969495576/
2019,Nissan,Navara,"$40,160Drive Away","Phillip, ACT","79,442 km",Diesel,drive.com.au/cars-for-sale/car/969495614/
2014,Audi,A5,"$20,540Drive Away","Midland, WA","140,300 km",Petrol,drive.com.au/cars-for-sale/car/969495671/
2020,Suzuki,Jimny,"$36,000*Excl. Govt. Charges","Melville, WA","50,000 km",Petrol,drive.com.au/cars-for-sale/car/969495707/
2023,Mazda,CX-30,"$40,881Drive Away","Wangara, WA","4,326 km",Petrol,drive.com.au/cars-for-sale/car/969495727/
2017,Suzuki,Vitara,"$17,500Drive Away","Hamilton, NSW","125,767 km",Petrol,drive.com.au/cars-for-sale/car/969495794/
2020,Mitsubishi,Triton,"$49,995*Excl. Govt. Charges","Bentley , WA","77,888 km",Diesel,drive.com.au/cars-for-sale/car/969495805/
2017,Hyundai,Sonata,"$23,622Drive Away","Midland, WA","82,800 km",Petrol,drive.com.au/cars-for-sale/car/969495881/
2006,Nissan,Navara,"$16,430Drive Away","Como, WA","228,864 km",Diesel,drive.com.au/cars-for-sale/car/969495910/
2023,Nissan,Navara,"$72,990*Excl. Govt. Charges","Morley, WA","7,858 km",Diesel,drive.com.au/cars-for-sale/car/969495919/
2018,Toyota,Hilux,"$35,010Drive Away","Southport, QLD","219,020 km",Diesel,drive.com.au/cars-for-sale/car/969495924/
2015,Toyota,86,"$23,990*Excl. Govt. Charges","Maddington, WA","108,909 km",Petrol,drive.com.au/cars-for-sale/car/969495987/
2021,Toyota,Corolla,"$26,990*Excl. Govt. Charges","AVAILABLE FOR NSW DELIVERY ONLY, NSW","52,780 km",Petrol,drive.com.au/cars-for-sale/car/969496000/
2022,Nissan,Navara,"$49,999*Excl. Govt. Charges","Midland, WA","27,206 km",Diesel,drive.com.au/cars-for-sale/car/969496027/
2020,Mitsubishi,Triton,"$46,895*Excl. Govt. Charges","Bentley , WA","67,606 km",Diesel,drive.com.au/cars-for-sale/car/969496034/
2023,Audi,Q3,"$59,990Drive Away","Bentleigh , VIC","2,204 km",Petrol,drive.com.au/cars-for-sale/car/969495552/
2019,Volvo,XC60,"$49,950*Excl. Govt. Charges","Fairfield, VIC","85,336 km",Petrol,drive.com.au/cars-for-sale/car/969495344/
2015,Toyota,Landcruiser Prado,"$50,966Drive Away","Wangara, WA","113,526 km",Diesel,drive.com.au/cars-for-sale/car/969495720/
2018,Holden,Commodore,"$24,950*Excl. Govt. Charges","Westgate, NSW","51,961 km",Petrol,drive.com.au/cars-for-sale/car/969495346/
2015,Volkswagen,Beetle,"$24,650Drive Away","Wangara, WA","89,699 km",Petrol,drive.com.au/cars-for-sale/car/969495723/
2014,Holden,Colorado,"$24,888Drive Away",Helensvale,"55,555 km",Diesel,drive.com.au/cars-for-sale/car/969495408/
2018,Mazda,3,"$21,567Drive Away","Wangara, WA","140,244 km",Petrol,drive.com.au/cars-for-sale/car/969495750/
2023,Mitsubishi,Triton,"$54,990Drive Away","Glen Waverley, VIC",12 km,Diesel,drive.com.au/cars-for-sale/car/969495437/
2022,Mitsubishi,Pajero Sport,"$58,565Drive Away","Wangara, WA","34,598 km",Diesel,drive.com.au/cars-for-sale/car/969495761/
2023,BMW,5 Series,"$114,900Drive Away","Mornington , VIC","2,250 km",Petrol,drive.com.au/cars-for-sale/car/969495457/
2022,Mercedes-Benz,GLC-Class,"$91,580Drive Away","Wangara, WA","7,300 km",Petrol,drive.com.au/cars-for-sale/car/969495762/
2023,Mazda,CX-60,"$68,888Drive Away","Rockingham, WA","2,841 km",Diesel,drive.com.au/cars-for-sale/car/969495523/
2016,Mazda,3,"$25,677Drive Away","Wangara, WA","89,244 km",Petrol,drive.com.au/cars-for-sale/car/969495774/
2020,Isuzu,D-MAX,"$29,000Drive Away",QLD,"299,000 km",Diesel,drive.com.au/cars-for-sale/car/969495541/
2023,Nissan,X-TRAIL,"$48,291Drive Away","Wollongong, NSW",13 km,Petrol,drive.com.au/cars-for-sale/car/969495859/
2023,Audi,RS5,"$164,990Drive Away","Bentleigh , VIC","1,006 km",Petrol,drive.com.au/cars-for-sale/car/969495550/
2014,BMW,5 Series,"$21,000*Excl. Govt. Charges","Melville, WA","185,500 km",Petrol,drive.com.au/cars-for-sale/car/969496075/
2020,Toyota,C-HR,"$29,478Drive Away","Laverton North, VIC","91,711 km",Petrol,drive.com.au/cars-for-sale/car/969495573/
2018,Kia,Sportage,"$23,888Drive Away","Cairns, QLD","113,595 km",Petrol,drive.com.au/cars-for-sale/car/969495609/
2016,Mazda,3,"$20,590Drive Away","Phillip, ACT","76,941 km",Petrol,drive.com.au/cars-for-sale/car/969495616/
2022,Toyota,C-HR,"$29,860Drive Away","Derwent Park, TAS","70,334 km",Petrol,drive.com.au/cars-for-sale/car/969495625/
2009,Toyota,RAV4,"$15,990*Excl. Govt. Charges","Bentley , WA","172,892 km",Petrol,drive.com.au/cars-for-sale/car/969495672/
2015,Isuzu,D-MAX,"$38,673Drive Away","Wangara, WA","126,459 km",Diesel,drive.com.au/cars-for-sale/car/969495718/
2023,SKODA,Kodiaq,"$73,000Drive Away","Townsville, QLD","1,514 km",Petrol,drive.com.au/cars-for-sale/car/969495812/
2019,Porsche,911,"$435,871Drive Away","Port Melbourne  , VIC","5,024 km",Petrol,drive.com.au/cars-for-sale/car/969495825/
2018,Toyota,Hilux,"$48,988*Excl. Govt. Charges","Bentley , WA","99,748 km",Diesel,drive.com.au/cars-for-sale/car/969495856/
2023,Nissan,X-TRAIL,"$48,290Drive Away","Wollongong, NSW",9 km,Petrol,drive.com.au/cars-for-sale/car/969495858/
2022,Toyota,C-HR,"$30,888Drive Away","Hoppers Crossing , VIC","68,000 km",Petrol,drive.com.au/cars-for-sale/car/969495860/
2016,Toyota,Landcruiser Prado,"$39,990*Excl. Govt. Charges","Midland, QLD","192,464 km",Petrol,drive.com.au/cars-for-sale/car/969495909/
2017,Toyota,Hilux,"$51,480*Excl. Govt. Charges","Plympton, SA","95,168 km",Diesel,drive.com.au/cars-for-sale/car/969495921/
2011,Audi,A5,"$17,990Drive Away",QLD,"129,668 km",Diesel,drive.com.au/cars-for-sale/car/969495932/
2015,Toyota,86,"$24,650Drive Away","Maddington, WA","108,909 km",Petrol,drive.com.au/cars-for-sale/car/969495984/
2015,Toyota,86,"$23,990*Excl. Govt. Charges","Maddington, WA","108,909 km",Petrol,drive.com.au/cars-for-sale/car/969495986/
2019,Suzuki,Vitara,"$26,040Drive Away","Laverton North, VIC","73,842 km",Petrol,drive.com.au/cars-for-sale/car/969496031/
2017,Hyundai,Tucson,"$20,000*Excl. Govt. Charges","Melville, WA","91,097 km",Petrol,drive.com.au/cars-for-sale/car/969496071/
2018,Toyota,Landcruiser Prado,"$51,889*Excl. Govt. Charges","Bentley , WA","123,986 km",Diesel,drive.com.au/cars-for-sale/car/969496086/
2023,Audi,S5,"$112,990Drive Away","Bentleigh , VIC","1,004 km",Petrol,drive.com.au/cars-for-sale/car/969495553/
2018,Holden,Trailblazer,"$35,950*Excl. Govt. Charges","Dandenong, VIC","117,198 km",Diesel,drive.com.au/cars-for-sale/car/969495332/
2019,Mazda,BT-50,"$47,577Drive Away","Wangara, WA","56,563 km",Diesel,drive.com.au/cars-for-sale/car/969495732/
2016,Hyundai,Accent,"$14,950*Excl. Govt. Charges","Westgate, NSW","81,248 km",Petrol,drive.com.au/cars-for-sale/car/969495336/
2022,Toyota,Hilux,"$68,150Drive Away","Wangara, WA","14,980 km",Diesel,drive.com.au/cars-for-sale/car/969495738/
2016,Toyota,Kluger,"$32,990Drive Away","Narre Warren, VIC","63,898 km",Petrol,drive.com.au/cars-for-sale/car/969495361/
2018,Ford,Ranger,"$46,454Drive Away","Wangara, WA","76,120 km",Diesel,drive.com.au/cars-for-sale/car/969495748/
2015,Toyota,Kluger,"$30,890Drive Away","Pennant Hills, NSW","100,387 km",Petrol,drive.com.au/cars-for-sale/car/969495364/
2017,Subaru,XV,"$28,886Drive Away","Wangara, WA","91,181 km",Petrol,drive.com.au/cars-for-sale/car/969495757/
2020,Toyota,Camry,"$27,800Drive Away","Belmore, NSW","77,564 km",Petrol,drive.com.au/cars-for-sale/car/969495395/
2021,Ford,Ranger,"$56,435Drive Away","Wangara, WA","57,603 km",Diesel,drive.com.au/cars-for-sale/car/969495758/
2010,BMW,5 Series,"$20,888Drive Away",Helensvale,"59,640 km",Diesel,drive.com.au/cars-for-sale/car/969495411/
2023,Mitsubishi,ASX,"$37,574Drive Away","Wangara, WA","2,221 km",Petrol,drive.com.au/cars-for-sale/car/969495770/
2023,Mitsubishi,Triton,"$49,800Drive Away","Glen Waverley, VIC",11 km,Diesel,drive.com.au/cars-for-sale/car/969495442/
2019,Mazda,3,"$27,813Drive Away","Wangara, WA","52,818 km",Petrol,drive.com.au/cars-for-sale/car/969495771/
2023,Mazda,CX-5,"$59,187Drive Away","Rockingham, WA","2,551 km",Petrol,drive.com.au/cars-for-sale/car/969495526/
2021,Hyundai,Santa Fe,"$35,880*Excl. Govt. Charges","Eagle Farm, QLD","68,915 km",Diesel,drive.com.au/cars-for-sale/car/969496059/
2019,Toyota,Hilux,"$52,220*Excl. Govt. Charges","Eagle Farm, QLD","61,821 km",Diesel,drive.com.au/cars-for-sale/car/969496060/
2023,Audi,Q3,"$59,990Drive Away","Bentleigh , VIC","2,204 km",Petrol,drive.com.au/cars-for-sale/car/969495552/
2016,Toyota,Kluger,"$37,990Drive Away","Hervey Bay, QLD","64,668 km",Petrol,drive.com.au/cars-for-sale/car/969495589/
2019,Mazda,CX-5,"$32,990Drive Away","Aspley, QLD","117,934 km",Petrol,drive.com.au/cars-for-sale/car/969495637/
2017,Hyundai,Kona,"$23,999Drive Away","Chermside, QLD","48,500 km",Petrol,drive.com.au/cars-for-sale/car/969495639/
2019,BMW,1 Series,"$50,990*Excl. Govt. Charges","Fairfield, VIC","46,000 km",Petrol,drive.com.au/cars-for-sale/car/969495645/
2013,Nissan,Almera,"$10,990*Excl. Govt. Charges","Midland, WA","135,000 km",Petrol,drive.com.au/cars-for-sale/car/969495655/
2020,Nissan,X-TRAIL,"$21,990Drive Away","Moorooka Q.4105, QLD","119,681 km",Petrol,drive.com.au/cars-for-sale/car/969495677/
2023,GWM,Ute,"$38,990Drive Away","Cairns, QLD",20 km,Diesel,drive.com.au/cars-for-sale/car/969495680/
2021,GWM,Ute,"$34,000*Excl. Govt. Charges","Melville, WA","31,902 km",Diesel,drive.com.au/cars-for-sale/car/969495708/
2013,Holden,Calais,"$18,485Drive Away","Wangara, WA","159,877 km",Petrol,drive.com.au/cars-for-sale/car/969495724/
2016,Mitsubishi,Triton,"$19,969*Excl. Govt. Charges","Bentley , WA","126,010 km",Diesel,drive.com.au/cars-for-sale/car/969495808/
2017,Holden,Captiva,"$18,530Drive Away","Phillip, ACT","72,862 km",Petrol,drive.com.au/cars-for-sale/car/969495815/
2015,Hyundai,ix35,"$19,448Drive Away","Mentone, VIC","109,847 km",Petrol,drive.com.au/cars-for-sale/car/969495976/
2015,Toyota,Landcruiser Prado,"$41,977*Excl. Govt. Charges","Bentley , WA","110,300 km",Diesel,drive.com.au/cars-for-sale/car/969496039/
2017,Toyota,Corolla,"$17,990*Excl. Govt. Charges","Eagle Farm, QLD","150,311 km",Petrol,drive.com.au/cars-for-sale/car/969496055/
2014,Audi,A3,"$14,000*Excl. Govt. Charges","Melville, WA","157,042 km",Petrol,drive.com.au/cars-for-sale/car/969496073/
2018,Ford,Ranger,"$44,950*Excl. Govt. Charges","Dandenong, VIC","99,400 km",Diesel,drive.com.au/cars-for-sale/car/969495342/
2021,Mazda,CX-5,"$39,950*Excl. Govt. Charges","Westgate, NSW","37,472 km",Petrol,drive.com.au/cars-for-sale/car/969495313/
2023,Mitsubishi,Triton,"$50,380Drive Away","Glen Waverley, VIC",14 km,Diesel,drive.com.au/cars-for-sale/car/969495445/
2013,Land,Rover Range Rover,"$62,990*Excl. Govt. Charges","Canning Vale, WA","134,548 km",Diesel,drive.com.au/cars-for-sale/car/969495318/
2020,Mazda,CX-8,"$39,776Drive Away","Wangara, WA","53,012 km",Petrol,drive.com.au/cars-for-sale/car/969495736/
2019,Kia,Sorento,"$32,950*Excl. Govt. Charges","Westgate, NSW","85,022 km",Petrol,drive.com.au/cars-for-sale/car/969495337/
2020,Mazda,3,"$32,121Drive Away","Wangara, WA","66,926 km",Petrol,drive.com.au/cars-for-sale/car/969495740/
2019,Volvo,XC60,"$49,950*Excl. Govt. Charges","Dandenong, VIC","40,010 km",Petrol,drive.com.au/cars-for-sale/car/969495340/
2016,Honda,Civic,"$24,650Drive Away","Wangara, WA","74,309 km",Petrol,drive.com.au/cars-for-sale/car/969495755/
2019,Nissan,Navara,"$38,990Drive Away",Helensvale,"18,789 km",Diesel,drive.com.au/cars-for-sale/car/969495412/
2015,Nissan,X-TRAIL,"$24,650Drive Away","Wangara, WA","85,749 km",Petrol,drive.com.au/cars-for-sale/car/969495759/
2023,Mitsubishi,Triton,"$48,888Drive Away","Glen Waverley, VIC",9 km,Diesel,drive.com.au/cars-for-sale/car/969495443/
2015,Mazda,CX-5,"$22,595Drive Away","Wangara, WA","132,813 km",Diesel,drive.com.au/cars-for-sale/car/969495765/
2018,Mercedes-Benz,C-Class,"$46,454Drive Away","Wangara, WA","58,156 km",Petrol,drive.com.au/cars-for-sale/car/969495772/
